S.No.,Code,Name,,,,,,,,,,Main City,State,,Rank,,,,,,,,,,,,,,,
22,IR-E-U-0064,"Indian Institute of Technology PatnaMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Patna,Bihar,54.86,22,,75.13,39.08,,65.02,,50.48,,25.54,,,,,,
23,IR-E-I-1480,"Thapar Institute of Engineering and Technology (Deemed-to-be-university)More DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Patiala,Punjab,54.73,23,,69.51,44.96,,67.28,,55.65,,13.66,,,,,,
24,IR-E-U-0139,"Indian Institute of Technology GandhinagarMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Gandhinagar,Gujarat,54.32,24,,80.59,31.01,,56.26,,61.34,,34.59,,,,,,
25,IR-E-U-0391,"Birla Institute of Technology & ScienceMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Pilani,Rajasthan,53.82,25,,63.61,35.15,,71.4,,54.5,,44.67,,,,,,
26,IR-E-U-0025,"National Institute of Technology WarangalMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Warangal,Telangana,53.21,26,,68.19,31.77,,72.5,,54.98,,32.17,,,,,,
27,IR-E-U-0108,"Jamia Millia IslamiaMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,New Delhi,Delhi,53.13,27,,64.25,42.18,,75.11,,50.9,,10.88,,,,,,
28,IR-E-U-0263,"National Institute of Technology CalicutMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Kozhikode,Kerala,52.69,28,,63.47,28.22,,77.01,,61.09,,36.71,,,,,,
29,IR-E-U-0378,"Indian Institute of Technology RoparMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Rupnagar,Punjab,52.37,29,,76.84,29.22,,64.57,,60.1,,16.27,,,,,,
30,IR-E-U-0255,"Indian Institute of Space Science and TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Thiruvananthapuram,Kerala,52.12,30,,77.52,22.75,,61.95,,56.2,,40.33,,,,,,
31,IR-E-U-0334,"Visvesvaraya National Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Nagpur,Maharashtra,51.27,31,,64.81,40.49,,65.09,,57.66,,8.92,,,,,,
32,IR-E-U-0363,"Siksha `O` AnusandhanMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Bhubaneswar,Odisha,50.39,32,,71.35,26.31,,66.43,,60.53,,17.65,,,,,,
33,IR-E-U-0202,"Birla Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Ranchi,Jharkhand,50.1,33,,66.84,35.8,,57.78,,52,,25.54,,,,,,
34,IR-E-U-0098,"Delhi Technological UniversityMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,New Delhi,Delhi,49.97,34,,60.27,28.07,,72.07,,53.38,,37.22,,,,,,
35,IR-E-U-0497,"Amity UniversityMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Gautam Budh Nagar,Uttar Pradesh,49.03,35,,69.51,41.27,,48.29,,56.32,,5.07,,,,,,
36,IR-E-U-0473,"SRM Institute of Science and TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Chennai,Tamil Nadu,48.95,36,,59.85,33.4,,63.04,,62.18,,21.53,,,,,,
37,IR-E-C-16604,"Sri Sivasubramaniya Nadar College of EngineeringMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Kancheepuram,Tamil Nadu,48.94,37,,69.13,28.51,,63.63,,52.66,,16.55,,,,,,
38,IR-E-U-0476,"Shanmugha Arts Science Technology & Research AcademyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Thanjavur,Tamil Nadu,48.83,38,,65.79,31.04,,64.66,,56.42,,12.14,,,,,,
39,IR-E-U-0014,"International Institute of Information Technology HyderabadMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Hyderabad,Telangana,48.73,39,,53.08,34.19,,73.4,,52.49,,26.21,,,,,,
40,IR-E-U-0496,"Aligarh Muslim UniversityMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Aligarh,Uttar Pradesh,47.74,40,,69.39,39.46,,53.28,,32.1,,12.14,,,,,,
41,IR-E-U-0172,"National Institute of Technology KurukshetraMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Kurukshetra,Haryana,47.58,41,,61.36,36.64,,58.47,,51.21,,13.66,,,,,,
42,IR-E-U-0530,"Motilal Nehru National Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Allahabad,Uttar Pradesh,47.49,42,,63.13,28.38,,65.55,,49.49,,19.77,,,,,,
43,IR-E-C-7252,"Manipal Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Manipal,Karnataka,47.31,43,,68.43,20.68,,53.91,,62.59,,35.31,,,,,,
44,IR-E-C-37013,"PSG College of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Coimbatore,Tamil Nadu,47.28,44,,68.97,17.4,,53.37,,48.73,,58.35,,,,,,
45,IR-E-U-0017,"Jawaharlal Nehru Technological UniversityMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Hyderabad,Telangana,47.13,45,,71.2,28.65,,55.01,,49.64,,12.14,,,,,,
46,IR-E-U-0577,"National Institute of Technology DurgapurMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Durgapur,West Bengal,46.47,46,,52.84,36.16,,63.3,,46.54,,24.63,,,,,,
47,IR-E-U-0474,"Sathyabama Institute of Science and TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Chennai,Tamil Nadu,46.07,47,,61.42,28.29,,62.26,,61.93,,5.07,,,,,,
48,IR-E-U-0356,"Kalinga Institute of Industrial TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Bhubaneswar,Odisha,45.94,48,,65.59,19.17,,61.6,,68.5,,13.36,,,,,,
49,IR-E-C-41593,"College of EngineeringMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Pune,Maharashtra,45.89,49,,58.17,26.17,,64.17,,51.79,,25.77,,,,,,
50,IR-E-U-0395,"Indian Institute of Technology JodhpurMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Jodhpur,Rajasthan,45.75,50,,67.68,23.44,,57.02,,63.26,,6.86,,,,,,
51,IR-E-U-0055,"National Institute of Technology SilcharMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Silchar,Assam,45.61,51,,61.31,29.86,,61.71,,47.42,,11.83,,,,,,
52,IR-E-U-0020,"Koneru Lakshmaiah Education Foundation University (K L College of Engineering)More DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Vaddeswaram,Andhra Pradesh,45.38,52,,70.88,21.8,,58.27,,56.06,,3.19,,,,,,
53,IR-E-U-0410,"Malviya National Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Jaipur,Rajasthan,45.2,53,,55.73,38.2,,58.34,,46.63,,6.86,,,,,,
54,IR-E-U-0078,"Panjab UniversityMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Chandigarh,Chandigarh,43.59,54,,41.83,50.63,,51.81,,44.72,,10.24,,,,,,
55,IR-E-U-0105,"Indraprastha Institute of Information TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,New Delhi,Delhi,43.49,55,,56.55,24.08,,69.36,,41.49,,12.76,,,,,,
56,IR-E-C-26794,"Thiagarajar College of EngineeringMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Madurai,Tamil Nadu,43.38,56,,61.68,18.98,,56.74,,49.23,,29.2,,,,,,
