S.No.,Name,Main City,State,Rank
79,"Babasheb Bhimrao Ambedkar University",Lucknow,Uttar Pradesh
80,"Balaji Institute of Technology and Science",Proddatur,Andhra Pradesh
81,"Ballari Institute of Technology & Management",Bellary,Karnataka
82,"Bannari Amman Institute of Technology",Sathyamangalam,Tamil Nadu,98
83,"Bansilal Ramnath Agarwal Charitable Trust`s Vishwakarama Institute of Technology",Pune,Maharashtra,155
84,"Bapatla Engineering College",Bapatla,Andhra Pradesh
85,"Bapatla Women`s Engineering College",Bapatla,Andhra Pradesh
86,"BASAVAKALYAN ENGINEERING COLLEGE",Basavakalyan,Karnataka
87,"Basaveshwar Engineering College",Bagalkot,Karnataka,191
88,"BEANT COLLEGE OF ENGINEERING & TECHNOLOGY,GURDASPUR",Gurdaspur,Punjab
89,"Bengal College of Engineering & Technology",Durgapur,West Bengal
90,"BENGAL INSTITUTE OF TECHNOLOGY",Kolkata,West Bengal
91,"Bhagalpur College of Engineering",Bhagalpur,Bihar
92,"Bhagwan Parshuram Institute of Technology",Delhi,Delhi
93,"Bharati Vidyapeeth 'S College of Engineering for Women",Pune,Maharashtra
94,"BHARATI VIDYAPEETH COLLEGE OF ENGINEERING",Navi Mumbai,Maharashtra
95,"Bharati Vidyapeeth Deemed University College of Engineering",Pune,Maharashtra,93
96,"Bharati Vidyapeeth`s College of Engineering",Pune,Maharashtra
97,"Bharati Vidyapeeth`s College of Engineering",Kolhapur,Maharashtra
98,"Bharati Vidyapeeth`s College of Engineering",New Delhi,Delhi
99,"Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology",Mumbai,Maharashtra,114
100,"BHEEMA INSTITUTE OF TECHNOLOGY AND SCIENCE",Adoni,Andhra Pradesh
101,"Bheemanna Khandre Institute of Technology",Bhalki,Karnataka
102,"Bhilai Institute of Technology",Durg,Chhattisgarh
103,"Bhilai Institute of Technology",Raipur,Chhattisgarh
104,"Birla Institute of Technology",Ranchi,Jharkhand,33
105,"Birla Institute of Technology & Science",Pilani,Rajasthan,25
106,"Birla Vishvakarma Mahavidyalaya",Vallabh Vidyanagar,Gujarat
107,"BLDEA`s College of Engg. & Technology",Bijapur,Karnataka
108,"BMS Institute of Technology & Management",Bengaluru,Karnataka,157
109,"BNM Institute of Technology",Bengaluru,Karnataka,156
110,"Bonam Venkata Chalamaiah Institute of Technology and Science",Amalapuram,Andhra Pradesh
111,"BONAM VENKATA CHALAMAYYA ENGINEERING COLLEGE",Amalapuram,Andhra Pradesh
112,"Brahmaiah College of Engineering",Nellore,Andhra Pradesh
113,"BRAHMDEVDADA MANE INSTITUTE OF TECHNOLOGY",Belati,Maharashtra
114,"Brindavan Institute of Technology and Science",Kurnool,Andhra Pradesh
115,"BVRIT Hyderabad",Hyderabad,Telangana,147
116,"C M R Institute of Technology",Bengaluru,Karnataka,175
117,"C. K. Pithawala College of Engg & Technology",Surat,Gujarat
118,"C. U. Shah University",Wadhwan City,Gujarat
119,"C. V. Raman College of Engineering ",Bhubaneswar,Odisha,94
120,"C.A.R.E. Group of Institutions",Tiruchirappalli,Tamil Nadu
121,"Cambridge Institute of Technology",Ranchi,Jharkhand
122,"Cambridge Institute of Technology",Bengaluru,Karnataka
123,"Canara Engineering College",Mangaluru,Karnataka
124,"Central University of Rajasthan",Ajmer,Rajasthan
125,"Centurion University of Technology and Management",Paralakhemundi,Odisha
126,"CGC College of Engineering, Landran",Sahibzada Ajit Singh Nagar,Punjab
127,"CH. DEVI LAL STATE INSTITUTE OF ENGINEERING & TECHNOLOGY",Sirsa,Haryana
128,"Chadalawada Ramanamma Engineering College",Tirupati,Andhra Pradesh
129,"Chaitanya Bharathi Institute of Technology",Hyderabad,Telangana,100
130,"CHAITANYA INSTITUTE OF TECHNOLOGY & SCIENCE",Hanmakonda,Telangana
131,"Chalapathi Institute of Engineering and Technology",Guntur,Andhra Pradesh
132,"Chandigarh College of Engineering & Technology",Chandigarh,Chandigarh
133,"Chandigarh Engg College",Sahibzada Ajit Singh Nagar,Punjab
134,"Chandigarh University",Mohali,Punjab,118
135,"Chandubhai S. Patel Institute of Technology",Anand,Gujarat
136,"Chennai Institute of Technology",Chennai,Tamil Nadu
137,"CHERAN COLLEGE OF ENGINEERING",KARUR,Tamil Nadu
138,"Chettinad College of Engineering & Technology",Karur,Tamil Nadu
139,"Chhatrapati Shivaji Institute of Technology Kolihapuri",Durg,Chhattisgarh
140,"Chhotubhai Gopalbhai Patel Institute of Technology",Bardoli,Gujarat
141,"Chitkara University",Rajpura,Punjab
142,"Choudhary Charan Singh University",Meerut,Uttar Pradesh
143,"Chouksey Engineering College",Bilaspur,Chhattisgarh
144,"Christ University",Bengaluru,Karnataka
145,"CMR College of Engineering & Technology",Hyderabad,Telangana
146,"CMR Engineering College",Rangareddy,Telangana
147,"CMR Institute of Technology",Hyderabad,Telangana
148,"CMR Technical Campus",Hyderabad,Telangana
149,"Coimbatore Institute of Engineering and Technology",Coimbatore,Tamil Nadu
150,"Coimbatore Institute of Technology",Coimbatore,Tamil Nadu,68
151,"College of Agricultural Engineering & Technology",Akola,Maharashtra
152,"College of Engineering",Pune,Maharashtra,49
153,"College of Engineering",Solapur,Maharashtra
154,"College of Engineering",Karunagappally,Kerala
155,"College of Engineering",Thiruvananthapuram,Kerala,71
156,"College of Engineering & Technology",Akola,Maharashtra
157,"College of Engineering & Technology, Bhubaneswar",Bhubaneswar,Odisha
158,"College of Engineering Visakhapatnam",Visakhapatnam,Andhra Pradesh,59
159,"COLLEGE OF ENGINEERING, CHERTHALA",Cherthala,Kerala
160,"COLLEGE OF ENGINEERING, PATHANAPURAM",Pathanapuram,Kerala
161,"College of Poultry Production and Management",Hosur,Tamil Nadu
162,"CVR College of Engineering",Secunderabad,Telangana
163,"D. K. T. E. Society`s Textile and Engineering Institute",Ichalkaranji,Maharashtra
164,"D. M. I. College of Engineering",Kancheepuram,Tamil Nadu
165,"D. N. R. College of Engineering & Technology",West Godavari,Andhra Pradesh
166,"D. Y. Patil College of Engineering & Technology",Kolhapur,Maharashtra
167,"D. Y. Patil Education Society, D.Y. Patil Technical Campus, Faculty of Engineering",kolhapur,Maharashtra
